procedure_id,procedure_name_ko,audit_objective_ko,procedure_description_ko,related_accounts,primary_assertions,secondary_assertions,applicable_risk_tags,procedure_type,timing,required_conditions,exclusion_conditions,evidence_examples,limitations,source_reference,source_level,review_status
PROC001,기말 전후 매출 컷오프 검사,적절한 회계기간 인식 여부 검토,"기말 전후 거래의 출고일, 인수일, 수익인식일을 비교합니다.",revenue,cutoff,occurrence|accuracy,year_end_concentration|customer_acceptance_clause,test_of_details,year_end,shipping_document|invoice,,shipping_document|invoice|customer_acceptance,증빙의 완전성 확인 필요,,educational_inference,ai_generated_unreviewed
PROC002,계약서 주요 조건 검사,수익인식 조건과 비표준 조건 확인,"계약서, 주문서, 검수조건, 반품권을 검토합니다.",revenue,occurrence|accuracy,cutoff|presentation,unusual_contract_terms|customer_acceptance_clause|related_party,inspection,interim_and_year_end,contract,,contract|sales_order,계약 해석은 전문적 판단 필요,,educational_inference,ai_generated_unreviewed
PROC003,후속 현금회수 대조,채권 실재성과 회수 가능성 단서 확인,기말 후 현금회수 내역을 매출채권과 대조합니다.,accounts_receivable|revenue,existence|valuation,occurrence,collection_slowdown|overdue_receivable|new_customer,test_of_details,subsequent_period,cash_receipt,,cash_receipt,회수만으로 수익인식 시점을 대체하지 않음,,educational_inference,ai_generated_unreviewed
PROC004,매출채권 외부조회,매출채권 실재성 관련 외부 증거 확보,선정 채권에 대해 외부조회 요청과 대체절차를 수행합니다.,accounts_receivable,existence,rights_and_obligations|valuation,customer_concentration|new_customer|overdue_receivable,external_confirmation,year_end,external_response,,external_response|invoice,매출 발생사실이나 컷오프를 직접 대체하지 않을 수 있음,,educational_inference,ai_generated_unreviewed
PROC005,기말 후 반품·대변전표 검사,기말 매출 취소 가능성 검토,"기말 후 반품, 취소, 대변전표를 원거래와 대조합니다.",revenue|accounts_receivable,accuracy|cutoff,valuation,post_period_return|credit_memo_increase,test_of_details,subsequent_period,credit_memo|return_record,,credit_memo|return_record|invoice,정상 반품 정책과 구분 필요,,educational_inference,ai_generated_unreviewed
PROC006,수기분개 상세 테스트,비경상 매출 조정의 타당성 검토,"수기 매출전표의 승인, 근거, 계정분류를 확인합니다.",revenue,occurrence|accuracy,classification,manual_entry,test_of_details,year_end,manual_journal,automated_only,invoice|contract,분개 추출 기준 필요,,educational_inference,ai_generated_unreviewed
PROC007,거래처별 매출 집중 분석,집중 거래의 위험 식별,거래처별 매출 비중과 전년 대비 변동을 분석합니다.,revenue,accuracy,presentation,customer_concentration|rapid_growth,substantive_analytical_procedure,interim_and_year_end,,,invoice,분석 결과는 상세 테스트 필요성을 식별하는 단서,,educational_inference,ai_generated_unreviewed
PROC008,마진 변동 분석,매출·원가 정확성 이상 징후 식별,제품군·거래처별 마진을 과거 추세와 비교합니다.,revenue,accuracy,classification|cutoff,unusual_margin|rapid_growth,substantive_analytical_procedure,interim_and_year_end,,,invoice,원인 확인 없는 분석만으로 결론 불가,,educational_inference,ai_generated_unreviewed
PROC009,특수관계자 거래 조건 검토,표시와 거래조건 검토,"특수관계자 식별, 승인, 조건, 공시 필요성을 검토합니다.",revenue|accounts_receivable,presentation,occurrence|rights_and_obligations,related_party,inspection,interim_and_year_end,contract,,contract|invoice,공시 요구사항은 별도 기준 검토 필요,,educational_inference,ai_generated_unreviewed
PROC010,미회수 채권 연령 분석,평가충당금 위험 검토,"채권 연령과 후속 회수, 분쟁 여부를 분석합니다.",accounts_receivable,valuation,existence,overdue_receivable|collection_slowdown,substantive_analytical_procedure,year_end,cash_receipt,,cash_receipt|invoice,추정 검토가 필요할 수 있음,,educational_inference,ai_generated_unreviewed
